Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,p,Block Number,Point ID
-0.226993,-0.445482,0,0.49998,-8.90757,4.53545,-4.62732e-22,9.99575,-22.0753,1,4649
-0.209326,-0.454046,0,0.499975,-9.07841,4.18277,-4.62732e-22,9.99565,-21.8248,1,4650
-0.191337,-0.46191,0,0.499971,-9.23532,3.82367,0,9.99557,-21.6021,1,4651
-0.173053,-0.469064,0,0.499968,-9.37804,3.45871,0,9.99552,-21.4069,1,4652
-0.154503,-0.475495,0,0.499967,-9.50638,3.08846,-9.7205e-24,9.99549,-21.2396,1,4653
-0.135715,-0.481194,0,0.499966,-9.62012,2.71346,-9.7205e-24,9.99548,-21.1002,1,4654
-0.116718,-0.486153,0,0.499967,-9.71912,2.33429,0,9.9955,-20.9888,1,4655
-0.097541,-0.490363,0,0.49997,-9.80319,1.95154,0,9.99555,-20.9053,1,4656
-0.0782141,-0.493818,0,0.499973,-9.87222,1.56579,0,9.99562,-20.8503,1,4657
-0.0587665,-0.496512,0,0.499978,-9.92611,1.17763,0,9.99572,-20.8252,1,4658
-0.0392283,-0.498443,0,0.499984,-9.96476,0.787662,0,9.99584,-20.8319,1,4659
-0.0196294,-0.499606,0,0.499991,-9.98812,0.39647,0,9.99599,-20.8659,1,4660
0,-0.5,0,0.5,-9.99597,0,4.6932e-23,9.99597,-20.9094,1,4661
0.0196294,-0.499606,0,0.499991,-9.98812,-0.39647,1.27304e-22,9.99599,-20.9665,1,5482
0.0392283,-0.498443,0,0.499984,-9.96476,-0.787662,8.03725e-23,9.99584,-21.0544,1,5483
0.0587665,-0.496512,0,0.499978,-9.92611,-1.17763,0,9.99572,-21.1719,1,5484
0.0782141,-0.493818,0,0.499973,-9.87222,-1.56579,0,9.99562,-21.3175,1,5485
0.097541,-0.490363,0,0.49997,-9.80319,-1.95154,0,9.99555,-21.4902,1,5486
0.116718,-0.486153,0,0.499967,-9.71912,-2.33429,0,9.9955,-21.6895,1,5487
0.135715,-0.481194,0,0.499966,-9.62012,-2.71346,-9.7205e-24,9.99548,-21.9149,1,5488
0.154503,-0.475495,0,0.499967,-9.50638,-3.08846,-9.7205e-24,9.99549,-22.1659,1,5489
0.173053,-0.469064,0,0.499968,-9.37804,-3.45871,0,9.99552,-22.4423,1,5490
0.191337,-0.46191,0,0.499971,-9.23532,-3.82367,0,9.99557,-22.7439,1,5491
0.209326,-0.454046,0,0.499975,-9.07841,-4.18277,-4.62732e-22,9.99565,-23.0704,1,5492
0.226993,-0.445482,0,0.49998,-8.90757,-4.53545,-4.62732e-22,9.99575,-23.422,1,5493
0.244311,-0.436232,0,0.499987,-8.72306,-4.88118,0,9.99589,-23.7987,1,5494
0.261253,-0.426311,0,0.499994,-8.52517,-5.21943,0,9.99604,-24.2009,1,5495
0.277794,-0.415733,0,0.500003,-8.31417,-5.54969,0,9.99622,-24.6286,1,5496
0.293906,-0.404515,0,0.500013,-8.09042,-5.87144,0,9.99643,-25.0823,1,5497
0.309567,-0.392674,0,0.500025,-7.85423,-6.18419,-1.10304e-21,9.99666,-25.5645,1,5498
0.324752,-0.380228,0,0.500037,-7.60598,-6.48746,-1.10304e-21,9.99691,-26.0785,1,5499
0.339437,-0.367197,0,0.500051,-7.34605,-6.7808,0,9.99718,-26.6166,1,5500
0.3536,-0.3536,0,0.500066,-7.06907,-7.06907,0,9.99717,-27.1478,1,5501
0.367197,-0.339437,0,0.500051,-6.7808,-7.34605,0,9.99718,-27.6783,1,5922
0.380228,-0.324752,0,0.500037,-6.48746,-7.60598,-1.10304e-21,9.99691,-28.2372,1,5943
0.392674,-0.309567,0,0.500025,-6.18419,-7.85423,-1.10304e-21,9.99666,-28.8225,1,5964
0.404515,-0.293906,0,0.500013,-5.87144,-8.09042,0,9.99643,-29.4307,1,5985
0.415733,-0.277794,0,0.500003,-5.54969,-8.31417,0,9.99622,-30.0594,1,6006
0.426311,-0.261253,0,0.499994,-5.21943,-8.52517,0,9.99604,-30.7073,1,6027
0.436232,-0.244311,0,0.499987,-4.88118,-8.72306,0,9.99589,-31.3731,1,6048
0.445482,-0.226993,0,0.49998,-4.53545,-8.90757,-4.62732e-22,9.99575,-32.0556,1,6069
0.454046,-0.209326,0,0.499975,-4.18277,-9.07841,-4.62732e-22,9.99565,-32.7535,1,6090
0.46191,-0.191337,0,0.499971,-3.82367,-9.23532,0,9.99557,-33.4654,1,6111
0.469064,-0.173053,0,0.499968,-3.45871,-9.37804,0,9.99552,-34.1903,1,6132
0.475495,-0.154503,0,0.499967,-3.08846,-9.50638,-9.7205e-24,9.99549,-34.9269,1,6153
0.481194,-0.135715,0,0.499966,-2.71346,-9.62012,-9.7205e-24,9.99548,-35.6742,1,6174
0.486153,-0.116718,0,0.499967,-2.33429,-9.71912,0,9.9955,-36.4312,1,6195
0.490363,-0.097541,0,0.49997,-1.95154,-9.80319,0,9.99555,-37.1965,1,6216
0.493818,-0.0782141,0,0.499973,-1.56579,-9.87222,0,9.99562,-37.9696,1,6237
0.496512,-0.0587665,0,0.499978,-1.17763,-9.92611,0,9.99572,-38.7505,1,6258
0.498443,-0.0392283,0,0.499984,-0.787662,-9.96476,0,9.99584,-39.5404,1,6279
0.499606,-0.0196294,0,0.499991,-0.39647,-9.98812,0,9.99599,-40.3328,1,6300
